algo, ta, score, pf, pq, 1, 2
FRR, 1, auc, 0.8, 1.0, 1.000, 1.000, 
FRR, 1, fps, 1.0, 0.0, 0.950, 0.948, 
FRR, 1, auc, 1.0, 0.0, 0.496, 0.502, 
FRR, 1, fps, 1.0, 0.2, 0.000, 0.000, 
FRR, 1, auc, 1.0, 0.2, 1.000, 1.000, 
FRR, 1, fps, 1.0, 0.4, 0.000, 0.000, 
FRR, 1, auc, 1.0, 0.4, 1.000, 1.000, 
FRR, 1, fps, 1.0, 0.6000000000000001, 0.000, 0.000, 
FRR, 1, auc, 1.0, 0.6000000000000001, 1.000, 1.000, 
FRR, 1, fps, 1.0, 0.8, 0.000, 0.000, 
FRR, 1, auc, 1.0, 0.8, 1.000, 1.000, 
FRR, 1, fps, 1.0, 1.0, 0.000, 0.000, 
FRR, 1, auc, 1.0, 1.0, 1.000, 1.000, 
OCSVM, 1, fps, 0.0, 0.0, 0.950, 0.949, 
OCSVM, 1, auc, 0.0, 0.0, 0.466, 0.499, 
OCSVM, 1, fps, 0.0, 0.2, 0.945, 0.947, 
OCSVM, 1, auc, 0.0, 0.2, 0.650, 0.620, 
OCSVM, 1, fps, 0.0, 0.4, 0.913, 0.935, 
OCSVM, 1, auc, 0.0, 0.4, 0.769, 0.767, 
OCSVM, 1, fps, 0.0, 0.6000000000000001, 0.870, 0.849, 
OCSVM, 1, auc, 0.0, 0.6000000000000001, 0.889, 0.909, 
OCSVM, 1, fps, 0.0, 0.8, 0.824, 0.841, 
OCSVM, 1, auc, 0.0, 0.8, 0.962, 0.959, 
OCSVM, 1, fps, 0.0, 1.0, 0.650, 0.697, 
OCSVM, 1, auc, 0.0, 1.0, 0.977, 0.981, 
OCSVM, 1, fps, 0.2, 0.0, 0.950, 0.947, 
OCSVM, 1, auc, 0.2, 0.0, 0.640, 0.483, 
OCSVM, 1, fps, 0.2, 0.2, 0.894, 0.869, 
OCSVM, 1, auc, 0.2, 0.2, 0.856, 0.858, 
OCSVM, 1, fps, 0.2, 0.4, 0.438, 0.425, 
OCSVM, 1, auc, 0.2, 0.4, 0.994, 0.991, 
OCSVM, 1, fps, 0.2, 0.6000000000000001, 0.000, 0.000, 
OCSVM, 1, auc, 0.2, 0.6000000000000001, 1.000, 1.000, 
OCSVM, 1, fps, 0.2, 0.8, 0.000, 0.000, 
OCSVM, 1, auc, 0.2, 0.8, 1.000, 1.000, 
OCSVM, 1, fps, 0.2, 1.0, 0.000, 0.000, 
OCSVM, 1, auc, 0.2, 1.0, 1.000, 1.000, 
OCSVM, 1, fps, 0.4, 0.0, 0.948, 0.949, 
OCSVM, 1, auc, 0.4, 0.0, 0.533, 0.473, 
OCSVM, 1, fps, 0.4, 0.2, 0.833, 0.810, 
OCSVM, 1, auc, 0.4, 0.2, 0.927, 0.939, 
OCSVM, 1, fps, 0.4, 0.4, 0.038, 0.000, 
OCSVM, 1, auc, 0.4, 0.4, 1.000, 1.000, 
OCSVM, 1, fps, 0.4, 0.6000000000000001, 0.000, 0.000, 
OCSVM, 1, auc, 0.4, 0.6000000000000001, 1.000, 1.000, 
OCSVM, 1, fps, 0.4, 0.8, 0.000, 0.000, 
OCSVM, 1, auc, 0.4, 0.8, 1.000, 1.000, 
OCSVM, 1, fps, 0.4, 1.0, 0.000, 0.000, 
OCSVM, 1, auc, 0.4, 1.0, 1.000, 1.000, 
OCSVM, 1, fps, 0.6000000000000001, 0.0, 0.949, 0.949, 
OCSVM, 1, auc, 0.6000000000000001, 0.0, 0.543, 0.546, 
OCSVM, 1, fps, 0.6000000000000001, 0.2, 0.593, 0.618, 
OCSVM, 1, auc, 0.6000000000000001, 0.2, 0.981, 0.982, 
OCSVM, 1, fps, 0.6000000000000001, 0.4, 0.000, 0.000, 
OCSVM, 1, auc, 0.6000000000000001, 0.4, 1.000, 1.000, 
OCSVM, 1, fps, 0.6000000000000001, 0.6000000000000001, 0.000, 0.000, 
OCSVM, 1, auc, 0.6000000000000001, 0.6000000000000001, 1.000, 1.000, 
OCSVM, 1, fps, 0.6000000000000001, 0.8, 0.000, 0.000, 
OCSVM, 1, auc, 0.6000000000000001, 0.8, 1.000, 1.000, 
OCSVM, 1, fps, 0.6000000000000001, 1.0, 0.000, 0.000, 
OCSVM, 1, auc, 0.6000000000000001, 1.0, 1.000, 1.000, 
OCSVM, 1, fps, 0.8, 0.0, 0.949, 0.950, 
OCSVM, 1, auc, 0.8, 0.0, 0.485, 0.473, 
OCSVM, 1, fps, 0.8, 0.2, 0.479, 0.138, 
OCSVM, 1, auc, 0.8, 0.2, 0.996, 0.998, 
OCSVM, 1, fps, 0.8, 0.4, 0.000, 0.000, 
OCSVM, 1, auc, 0.8, 0.4, 1.000, 1.000, 
OCSVM, 1, fps, 0.8, 0.6000000000000001, 0.000, 0.000, 
OCSVM, 1, auc, 0.8, 0.6000000000000001, 1.000, 1.000, 
OCSVM, 1, fps, 0.8, 0.8, 0.000, 0.000, 
OCSVM, 1, auc, 0.8, 0.8, 1.000, 1.000, 
OCSVM, 1, fps, 0.8, 1.0, 0.000, 0.000, 
OCSVM, 1, auc, 0.8, 1.0, 1.000, 1.000, 
OCSVM, 1, fps, 1.0, 0.0, 0.948, 0.949, 
OCSVM, 1, auc, 1.0, 0.0, 0.493, 0.499, 
OCSVM, 1, fps, 1.0, 0.2, 0.231, 0.153, 
OCSVM, 1, auc, 1.0, 0.2, 0.999, 1.000, 
OCSVM, 1, fps, 1.0, 0.4, 0.000, 0.000, 
OCSVM, 1, auc, 1.0, 0.4, 1.000, 1.000, 
OCSVM, 1, fps, 1.0, 0.6000000000000001, 0.000, 0.000, 
OCSVM, 1, auc, 1.0, 0.6000000000000001, 1.000, 1.000, 
OCSVM, 1, fps, 1.0, 0.8, 0.000, 0.000, 
OCSVM, 1, auc, 1.0, 0.8, 1.000, 1.000, 
OCSVM, 1, fps, 1.0, 1.0, 0.000, 0.000, 
OCSVM, 1, auc, 1.0, 1.0, 1.000, 1.000, 
VAR, 2, fps, 0.0, 0.0, 0.949, 0.950, 
VAR, 2, auc, 0.0, 0.0, 0.528, 0.527, 
VAR, 2, fps, 0.0, 0.2, 0.939, 0.944, 
VAR, 2, auc, 0.0, 0.2, 0.547, 0.508, 
VAR, 2, fps, 0.0, 0.4, 0.928, 0.935, 
VAR, 2, auc, 0.0, 0.4, 0.637, 0.612, 
VAR, 2, fps, 0.0, 0.6000000000000001, 0.915, 0.920, 
VAR, 2, auc, 0.0, 0.6000000000000001, 0.721, 0.709, 
VAR, 2, fps, 0.0, 0.8, 0.908, 0.897, 
VAR, 2, auc, 0.0, 0.8, 0.828, 0.817, 
VAR, 2, fps, 0.0, 1.0, 0.909, 0.901, 
VAR, 2, auc, 0.0, 1.0, 0.882, 0.798, 
VAR, 2, fps, 0.2, 0.0, 0.946, 0.950, 
VAR, 2, auc, 0.2, 0.0, 0.493, 0.471, 
VAR, 2, fps, 0.2, 0.2, 0.920, 0.929, 
VAR, 2, auc, 0.2, 0.2, 0.563, 0.560, 
VAR, 2, fps, 0.2, 0.4, 0.857, 0.837, 
VAR, 2, auc, 0.2, 0.4, 0.853, 0.880, 
VAR, 2, fps, 0.2, 0.6000000000000001, 0.438, 0.618, 
VAR, 2, auc, 0.2, 0.6000000000000001, 0.994, 0.981, 
VAR, 2, fps, 0.2, 0.8, 0.242, 0.219, 
VAR, 2, auc, 0.2, 0.8, 0.999, 0.999, 
VAR, 2, fps, 0.2, 1.0, 0.057, 0.107, 
VAR, 2, auc, 0.2, 1.0, 1.000, 0.999, 
VAR, 2, fps, 0.4, 0.0, 0.949, 1.000, 
VAR, 2, auc, 0.4, 0.0, 0.542, 0.466, 
VAR, 2, fps, 0.4, 0.2, 0.920, 0.883, 
VAR, 2, auc, 0.4, 0.2, 0.705, 0.791, 
VAR, 2, fps, 0.4, 0.4, 0.688, 0.569, 
VAR, 2, auc, 0.4, 0.4, 0.988, 0.984, 
VAR, 2, fps, 0.4, 0.6000000000000001, 0.419, 0.495, 
VAR, 2, auc, 0.4, 0.6000000000000001, 0.997, 0.997, 
VAR, 2, fps, 0.4, 0.8, 0.000, 0.138, 
VAR, 2, auc, 0.4, 0.8, 1.000, 1.000, 
VAR, 2, fps, 0.4, 1.0, 0.882, 0.000, 
VAR, 2, auc, 0.4, 1.0, 0.992, 1.000, 
VAR, 2, fps, 0.6000000000000001, 0.0, 0.949, 0.950, 
VAR, 2, auc, 0.6000000000000001, 0.0, 0.447, 0.533, 
VAR, 2, fps, 0.6000000000000001, 0.2, 0.892, 0.885, 
VAR, 2, auc, 0.6000000000000001, 0.2, 0.772, 0.791, 
VAR, 2, fps, 0.6000000000000001, 0.4, 0.635, 0.788, 
VAR, 2, auc, 0.6000000000000001, 0.4, 0.995, 0.978, 
VAR, 2, fps, 0.6000000000000001, 0.6000000000000001, 0.153, 0.091, 
VAR, 2, auc, 0.6000000000000001, 0.6000000000000001, 0.999, 1.000, 
VAR, 2, fps, 0.6000000000000001, 0.8, 0.000, 0.000, 
VAR, 2, auc, 0.6000000000000001, 0.8, 1.000, 1.000, 
VAR, 2, fps, 0.6000000000000001, 1.0, 0.057, 0.000, 
VAR, 2, auc, 0.6000000000000001, 1.0, 0.999, 1.000, 
VAR, 2, fps, 0.8, 0.0, 0.949, 0.950, 
