VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
LSTM, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
GRU, SMAP, True, fpr, 0.9884, 0.9889, 0.9885, 0.9889, 0.9884, 0.9885, 0.9885, 0.9888, 0.9888, 0.9884, 0.9884, 0.9889, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9888, 0.9884, 0.9885, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9885, 0.9884, 0.9884, 0.9884
GRU, SMAP, True, auc, 0.5961, 0.5790, 0.5893, 0.5690, 0.5940, 0.5873, 0.5893, 0.5841, 0.5834, 0.5955, 0.5913, 0.5705, 0.5934, 0.5905, 0.5966, 0.5913, 0.5965, 0.5837, 0.5946, 0.5892, 0.5938, 0.5972, 0.5925, 0.5957, 0.5940, 0.5912, 0.5933, 0.5909, 0.5886, 0.5905, 0.5953, 0.5922
GRU, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
AE, SMAP, True, fpr, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886
AE, SMAP, True, auc, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005, 0.5005
AE, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
VAE, SMAP, True, fpr, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884, 0.9884
VAE, SMAP, True, auc, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120, 0.5120
VAE, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
OP, SMAP, True, fpr, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886, 0.9886
OP, SMAP, True, auc, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997, 0.4997
OP, SMAP, True, f1b, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218, 0.0218
RAND, SMAP, True, fpr, 0.9890, 0.9890, 0.9889, 0.9886, 0.9888, 0.9889, 0.9889, 0.9889, 0.9889, 0.9885, 0.9889, 0.9887, 0.9888, 0.9889, 0.9889, 0.9887, 0.9888, 0.9888, 0.9889, 0.9885, 0.9889, 0.9888, 0.9889, 0.9889, 0.9889, 0.9889, 0.9889, 0.9883, 0.9886, 0.9889, 0.9888, 0.9885
RAND, SMAP, True, auc, 0.4511, 0.4881, 0.4331, 0.5332, 0.4481, 0.4939, 0.4726, 0.4821, 0.4626, 0.5228, 0.4835, 0.5510, 0.4981, 0.4787, 0.5363, 0.5005, 0.4468, 0.4781, 0.5292, 0.5330, 0.4418, 0.4638, 0.5306, 0.4911, 0.4635, 0.5105, 0.4378, 0.4872, 0.5225, 0.4797, 0.5335, 0.5180
RAND, SMAP, True, f1b, 0.4893, 0.5195, 0.6178, 0.4834, 0.8602, 0.5498, 0.7273, 0.7583, 0.7619, 0.6084, 0.6897, 0.9249, 0.6723, 0.5063, 0.7692, 0.6957, 0.9412, 0.3922, 0.7547, 0.8205, 0.4848, 0.6400, 0.9412, 0.6957, 0.4520, 0.7273, 0.6723, 0.8989, 0.8290, 0.4301, 0.7805, 0.6154
