VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
LSTM, MSL, True, f1b, 0.9795, 0.9764, 0.9779, 0.9795, 0.9795, 0.9795, 0.9795, 0.9795, 0.9764, 0.9779, 0.9779, 0.9795, 0.9795, 0.9779, 0.9779, 0.9779, 0.9795, 0.9779, 0.9795, 0.9764, 0.9779, 0.9779, 0.9779, 0.9795, 0.9779, 0.9795, 0.9795, 0.9779, 0.9795, 0.9795, 0.9795, 0.9779
GRU, MSL, True, fpr, 0.8630, 0.8625, 0.8629, 1.0000, 1.0000, 0.8628, 0.8625, 1.0000, 0.8624, 0.8630, 0.8628, 1.0000, 1.0000, 1.0000, 0.8628, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.8628, 1.0000, 1.0000, 0.8628, 1.0000, 1.0000, 0.8627
GRU, MSL, True, auc, 0.5526, 0.5433, 0.5557, 0.5331, 0.5355, 0.5341, 0.5395, 0.5523, 0.5381, 0.5418, 0.5454, 0.5618, 0.5232, 0.5286, 0.5534, 0.5471, 0.5421, 0.5335, 0.5254, 0.5518, 0.5397, 0.5311, 0.5549, 0.5414, 0.5132, 0.5507, 0.5323, 0.5316, 0.5320, 0.5529, 0.5316, 0.5497
GRU, MSL, True, f1b, 0.9779, 0.9764, 0.9779, 0.9764, 0.9748, 0.9795, 0.9748, 0.9764, 0.9779, 0.9795, 0.9779, 0.9779, 0.9779, 0.9764, 0.9748, 0.9764, 0.9764, 0.9779, 0.9748, 0.9748, 0.9764, 0.9764, 0.9764, 0.9779, 0.9764, 0.9764, 0.9779, 0.9748, 0.9748, 0.9779, 0.9764, 0.9795
AE, MSL, True, fpr, 1.0000, 0.8238, 1.0000, 1.0000, 0.8628, 0.8627, 1.0000, 0.8625, 0.8238, 0.8238, 0.8627, 0.8612, 0.8628, 0.8623, 1.0000, 1.0000, 0.8630, 0.8630, 0.8628, 0.8624, 0.8623, 0.8627, 0.8612, 1.0000, 0.8628, 0.8630, 1.0000, 0.8630, 0.8630, 0.8622, 0.8629, 0.8628
AE, MSL, True, auc, 0.5585, 0.5336, 0.5553, 0.5431, 0.5411, 0.5584, 0.5423, 0.5468, 0.5451, 0.5485, 0.5509, 0.5574, 0.5416, 0.5393, 0.5609, 0.5407, 0.5429, 0.5572, 0.5571, 0.5467, 0.5525, 0.5572, 0.5572, 0.5466, 0.5442, 0.5431, 0.5473, 0.5432, 0.5380, 0.5435, 0.5452, 0.5547
AE, MSL, True, f1b, 0.9172, 0.9240, 0.9240, 0.9104, 0.9422, 0.9012, 0.9104, 0.9051, 0.9104, 0.9078, 0.9064, 0.9091, 0.9323, 0.8986, 0.9064, 0.9281, 0.9131, 0.9091, 0.9091, 0.9145, 0.9212, 0.9104, 0.9394, 0.9012, 0.9131, 0.9025, 0.9051, 0.8895, 0.9104, 0.9131, 0.9051, 0.9078
VAE, MSL, True, fpr, 0.8630, 0.8626, 0.8630, 1.0000, 0.8630, 1.0000, 0.8629, 0.8628, 1.0000, 0.8630, 0.8630, 1.0000, 0.8630, 0.8628, 0.8630, 0.8630, 0.8630, 0.8629, 1.0000, 1.0000, 0.8626, 0.8630, 0.8628, 0.8630, 1.0000, 0.8628, 0.8630, 0.8627, 0.8629, 0.8630, 0.8628, 0.8630
VAE, MSL, True, auc, 0.4554, 0.4513, 0.4530, 0.4548, 0.4535, 0.4487, 0.4559, 0.4558, 0.4528, 0.4533, 0.4568, 0.4565, 0.4542, 0.4523, 0.4532, 0.4528, 0.4559, 0.4509, 0.4533, 0.4546, 0.4527, 0.4559, 0.4532, 0.4551, 0.4547, 0.4557, 0.4536, 0.4524, 0.4517, 0.4512, 0.4577, 0.4534
VAE, MSL, True, f1b, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246, 0.3246
OP, MSL, True, fpr, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135, 0.8135
OP, MSL, True, auc, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057, 0.5057
OP, MSL, True, f1b, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843, 0.7843
RAND, MSL, True, fpr, 0.8628, 0.8628, 0.8615, 0.8622, 0.8625, 0.8630, 0.8621, 0.8627, 0.8627, 0.8627, 0.8617, 0.8624, 0.8617, 0.8628, 0.8623, 0.8628, 0.8628, 0.8625, 0.8626, 0.8628, 0.8629, 0.8629, 1.0000, 0.8628, 0.8625, 0.8616, 0.8628, 0.8630, 0.8630, 0.8626, 0.8630, 0.8630
RAND, MSL, True, auc, 0.4746, 0.4924, 0.5156, 0.4573, 0.4984, 0.4941, 0.4809, 0.5103, 0.4975, 0.5005, 0.4530, 0.4890, 0.5109, 0.5123, 0.5196, 0.4896, 0.4936, 0.4694, 0.5139, 0.5091, 0.4903, 0.5153, 0.5371, 0.4589, 0.5172, 0.5304, 0.5330, 0.4891, 0.5194, 0.5126, 0.4977, 0.4643
RAND, MSL, True, f1b, 0.9064, 0.9810, 0.9718, 0.9888, 0.9612, 0.9826, 0.9657, 0.9672, 0.9688, 0.9873, 0.9810, 0.9657, 0.9642, 0.9495, 0.9281, 0.9583, 0.9873, 0.9254, 0.9826, 0.9904, 0.9857, 0.9857, 0.9538, 0.9466, 0.9984, 0.9672, 0.9495, 0.9733, 0.9795, 0.9779, 0.9703, 0.9612
