VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
AE, SMAP, True, fpr, 0.5089, 1.0000, 1.0000, 0.4383, 0.4383, 0.4383, 0.4888, 0.5093, 0.4894, 1.0000, 0.4383, 0.5089, 0.5093, 0.4383, 1.0000, 0.4383, 0.5089, 0.4383, 0.4383, 1.0000, 0.5093, 1.0000, 0.5089, 1.0000, 0.4912, 0.5084, 0.4383, 0.4383, 0.4383, 1.0000, 1.0000, 0.4383
AE, SMAP, True, auc, 0.8807, 0.1188, 0.7996, 0.8692, 0.8125, 0.7986, 0.1747, 0.8084, 0.1980, 0.1188, 0.8067, 0.8791, 0.8090, 0.7988, 0.1918, 0.8068, 0.8790, 0.7949, 0.8070, 0.1025, 0.8089, 0.2690, 0.8792, 0.2688, 0.1993, 0.8202, 0.8072, 0.7978, 0.8090, 0.8008, 0.1944, 0.8691
AE, SMAP, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
VAE, SMAP, True, fpr, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
VAE, SMAP, True, auc, 0.0938, 0.1031, 0.1041, 0.0933, 0.0902, 0.0946, 0.0941, 0.0943, 0.0933, 0.1044, 0.1049, 0.0928, 0.1033, 0.1768, 0.1044, 0.1052, 0.1037, 0.0819, 0.1064, 0.0686, 0.0855, 0.0938, 0.1041, 0.1043, 0.0881, 0.1045, 0.0902, 0.1043, 0.1039, 0.1084, 0.0855, 0.1034
VAE, SMAP, True, f1b, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014, 0.7014
OP, SMAP, True, fpr, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093, 0.5093
OP, SMAP, True, auc, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001, 0.5001
OP, SMAP, True, f1b, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999
RAND, SMAP, True, fpr, 0.5093, 0.5093, 0.5093, 0.5092, 0.5093, 1.0000, 0.5092, 0.5093, 1.0000, 1.0000, 1.0000, 1.0000, 0.5093, 1.0000, 0.5093, 0.5092, 0.5093, 1.0000, 0.5091, 0.5093, 1.0000, 0.5093, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.5093, 0.5093, 1.0000, 1.0000, 1.0000
RAND, SMAP, True, auc, 0.5023, 0.4999, 0.4975, 0.4950, 0.4928, 0.4992, 0.4852, 0.4998, 0.5026, 0.4983, 0.5097, 0.5035, 0.5072, 0.4946, 0.4946, 0.5029, 0.5072, 0.5001, 0.4926, 0.5010, 0.5050, 0.5062, 0.5049, 0.4961, 0.5116, 0.4974, 0.4901, 0.5077, 0.4919, 0.4982, 0.5090, 0.4954
RAND, SMAP, True, f1b, 1.0000, 0.9994, 1.0000, 0.9996, 1.0000, 0.9995, 0.9995, 0.9991, 1.0000, 1.0000, 1.0000, 0.9992, 1.0000, 0.9992, 1.0000, 0.9989, 0.9991, 0.9994, 1.0000, 0.9995, 1.0000, 0.9988, 0.9989, 0.9991, 1.0000, 1.0000, 0.9989, 0.9991, 0.9988, 0.9992, 1.0000, 1.0000
