VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
LSTM, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
GRU, MSL, True, fpr, 0.9918, 0.9920, 1.0000, 0.9925, 0.9912, 1.0000, 0.9919, 1.0000, 0.9921, 0.9918, 0.9919, 0.9916, 1.0000, 0.9920, 0.9920, 0.9919, 0.9930, 0.9920, 0.9920, 1.0000, 0.9916, 0.9918, 0.9920, 0.9890, 0.9919, 0.9918, 0.9919, 0.9930, 0.9919, 0.9918, 0.9918, 0.9920
GRU, MSL, True, auc, 0.5800, 0.5232, 0.6189, 0.5408, 0.5768, 0.5265, 0.5913, 0.6121, 0.5692, 0.5995, 0.6193, 0.5789, 0.5125, 0.5963, 0.5640, 0.5473, 0.5305, 0.5506, 0.5732, 0.5303, 0.6220, 0.6376, 0.6488, 0.7267, 0.6351, 0.5809, 0.5784, 0.6797, 0.5499, 0.5443, 0.5947, 0.5428
GRU, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
AE, MSL, True, fpr, 0.9917, 0.9917, 0.9917, 0.9917, 0.9917, 1.0000, 0.9917, 0.9917, 0.9916, 0.9918, 0.9917, 0.9917, 1.0000, 0.9917, 1.0000, 0.9917, 0.9917, 0.9918, 1.0000, 0.9917, 0.9917, 0.9917, 0.9917, 1.0000, 0.9917, 0.9899, 0.9917, 0.9918, 0.9917, 1.0000, 0.9917, 0.9918
AE, MSL, True, auc, 0.5288, 0.5418, 0.3979, 0.4111, 0.4103, 0.5288, 0.5288, 0.5288, 0.4215, 0.3979, 0.5371, 0.5288, 0.5288, 0.3997, 0.5295, 0.5356, 0.3979, 0.3994, 0.5301, 0.5288, 0.5403, 0.5288, 0.3981, 0.5288, 0.5288, 0.5353, 0.5288, 0.4004, 0.4112, 0.5288, 0.5288, 0.4050
AE, MSL, True, f1b, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0260, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0271, 0.0252, 0.0139, 0.0139
VAE, MSL, True, fpr, 0.9920, 0.9922, 0.9923, 0.9923, 0.9915, 0.9923, 0.9923, 0.9915, 0.9923, 0.9923, 0.9923, 0.9923, 0.9915, 0.9915, 0.9922, 0.9915, 0.9923, 0.9923, 0.9923, 0.9915, 0.9922, 0.9923, 0.9923, 0.9922, 0.9915, 0.9923, 0.9909, 0.9914, 0.9923, 0.9923, 0.9915, 0.9915
VAE, MSL, True, auc, 0.5887, 0.5887, 0.5887, 0.5887, 0.5880, 0.5887, 0.5887, 0.5887, 0.5887, 0.5887, 0.5887, 0.5887, 0.5885, 0.5887, 0.5887, 0.5879, 0.5887, 0.5887, 0.5887, 0.5887, 0.5887, 0.5887, 0.5887, 0.5887, 0.5884, 0.5887, 0.6020, 0.5887, 0.5885, 0.5887, 0.5884, 0.5887
VAE, MSL, True, f1b, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290, 0.0290
OP, MSL, True, fpr, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594, 0.9594
OP, MSL, True, auc, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989, 0.4989
OP, MSL, True, f1b, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139, 0.0139
RAND, MSL, True, fpr, 0.9928, 0.9926, 0.9927, 0.9930, 0.9929, 0.9925, 0.9920, 0.9929, 0.9930, 0.9915, 0.9926, 0.9927, 0.9929, 0.9927, 0.9925, 0.9929, 0.9917, 0.9927, 0.9929, 0.9927, 0.9928, 0.9928, 0.9925, 0.9927, 0.9927, 0.9922, 0.9923, 0.9925, 0.9927, 0.9923, 0.9928, 0.9929
RAND, MSL, True, auc, 0.5584, 0.5735, 0.4478, 0.4984, 0.4309, 0.6520, 0.5147, 0.5050, 0.5519, 0.6209, 0.5190, 0.5751, 0.3831, 0.4197, 0.4652, 0.5164, 0.5428, 0.4564, 0.5597, 0.5502, 0.5156, 0.4959, 0.5061, 0.4910, 0.4672, 0.4836, 0.3949, 0.5922, 0.4761, 0.4626, 0.4697, 0.3480
RAND, MSL, True, f1b, 0.2469, 0.6154, 0.1674, 0.2041, 0.4348, 0.1970, 0.2484, 0.5263, 0.2062, 0.1010, 0.5195, 0.3509, 0.0766, 0.1754, 0.3960, 0.3636, 0.5634, 0.2985, 0.2685, 0.4348, 0.1242, 0.0709, 0.1747, 0.5195, 0.8889, 0.6897, 0.0800, 0.6061, 0.1990, 0.3509, 0.7273, 0.2778
