VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
GRU, SMD, True, fpr, 0.8986, 0.8988, 0.8988, 1.0000, 0.8988, 0.8987, 1.0000, 0.8986, 0.8987, 0.8985, 0.8988, 0.8987, 1.0000, 1.0000, 0.8987, 0.8984, 0.8985, 0.8988, 0.8988, 0.8987, 0.8988, 0.8986, 0.8987, 0.8984, 0.8987, 0.8988, 0.8984, 0.8988, 1.0000, 0.8987, 0.8987, 0.8987
GRU, SMD, True, auc, 0.5623, 0.5417, 0.5056, 0.5651, 0.5904, 0.5257, 0.5436, 0.5859, 0.5508, 0.5601, 0.5516, 0.5622, 0.5417, 0.5176, 0.5852, 0.5543, 0.5613, 0.5313, 0.5459, 0.5700, 0.5199, 0.5537, 0.5501, 0.5988, 0.6222, 0.5387, 0.5673, 0.5622, 0.5547, 0.5561, 0.5608, 0.5551
GRU, SMD, True, f1b, 0.9973, 0.9973, 0.9969, 0.9975, 0.9971, 0.9973, 0.9971, 0.9973, 0.9973, 0.9973, 0.9975, 0.9975, 0.9971, 0.9971, 0.9969, 0.9973, 0.9971, 0.9975, 0.9971, 0.9975, 0.9973, 0.9975, 0.9975, 0.9973, 0.9975, 0.9975, 0.9973, 0.9971, 0.9971, 0.9975, 0.9973, 0.9975
AE, SMD, True, fpr, 0.8985, 0.8985, 0.8987, 0.8978, 0.8969, 0.8986, 0.8988, 0.8978, 0.8984, 0.8987, 0.8988, 0.8985, 0.8984, 0.8983, 0.8985, 0.8982, 0.8986, 0.8986, 0.8982, 0.8986, 0.8983, 0.8987, 0.8985, 0.8988, 0.8982, 0.8988, 0.8984, 0.8986, 0.8984, 0.8988, 0.8976, 0.8987
AE, SMD, True, auc, 0.7996, 0.8059, 0.7828, 0.8061, 0.7905, 0.8047, 0.7791, 0.8141, 0.8035, 0.8114, 0.7948, 0.7861, 0.8154, 0.7892, 0.8148, 0.8071, 0.8045, 0.7925, 0.7964, 0.7953, 0.8445, 0.8198, 0.7930, 0.7805, 0.7859, 0.7559, 0.7851, 0.7849, 0.7997, 0.7513, 0.8357, 0.8075
AE, SMD, True, f1b, 0.9967, 0.9969, 0.9967, 0.9950, 0.9954, 0.9971, 0.9967, 0.9971, 0.9958, 0.9967, 0.9965, 0.9965, 0.9969, 0.9965, 0.9971, 0.9963, 0.9967, 0.9971, 0.9963, 0.9969, 0.9965, 0.9967, 0.9967, 0.9971, 0.9956, 0.9969, 0.9965, 0.9971, 0.9965, 0.9971, 0.9969, 0.9965
VAE, SMD, True, fpr, 1.0000, 1.0000, 0.8988, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.8988, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.8988, 1.0000, 1.0000, 1.0000, 1.0000, 0.8988, 0.8988, 0.8988, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.8988, 1.0000
VAE, SMD, True, auc, 0.3903, 0.3856, 0.4210, 0.3927, 0.4033, 0.4103, 0.4113, 0.3925, 0.4009, 0.3948, 0.4050, 0.3987, 0.3969, 0.4162, 0.3847, 0.3894, 0.4006, 0.3684, 0.4002, 0.3995, 0.3622, 0.3912, 0.4073, 0.4153, 0.4056, 0.4187, 0.3924, 0.3549, 0.4007, 0.3902, 0.3900, 0.4111
VAE, SMD, True, f1b, 0.7496, 0.6938, 0.7373, 0.7269, 0.7525, 0.7317, 0.7761, 0.6501, 0.7111, 0.7482, 0.7764, 0.7383, 0.7418, 0.7497, 0.7672, 0.7263, 0.7438, 0.5848, 0.7201, 0.7329, 0.7153, 0.7529, 0.7004, 0.7838, 0.7645, 0.7303, 0.7156, 0.6563, 0.7490, 0.6926, 0.7194, 0.7361
OP, SMD, True, fpr, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962, 0.8962
OP, SMD, True, auc, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016, 0.5016
OP, SMD, True, f1b, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838, 0.1838
RAND, SMD, True, fpr, 0.8988, 1.0000, 0.8988, 0.8988, 0.8987, 0.8987, 0.8988, 0.8988, 0.8988, 1.0000, 1.0000, 0.8987, 0.8988, 0.8988, 0.8988, 0.8987, 1.0000, 0.8988, 0.8988, 0.8988, 0.8988, 0.8988, 0.8988, 0.8988, 0.8988, 0.8988, 1.0000, 0.8988, 0.8988, 0.8988, 0.8988, 0.8988
RAND, SMD, True, auc, 0.4953, 0.4944, 0.4855, 0.4988, 0.5101, 0.4965, 0.4841, 0.5016, 0.4957, 0.4981, 0.4952, 0.5014, 0.4890, 0.5022, 0.5041, 0.5041, 0.5010, 0.4989, 0.5015, 0.5107, 0.5069, 0.5168, 0.4979, 0.4886, 0.4981, 0.5019, 0.4915, 0.5085, 0.5012, 0.4928, 0.4989, 0.5024
RAND, SMD, True, f1b, 0.9322, 0.9291, 0.9214, 0.9378, 0.9445, 0.9496, 0.9474, 0.9315, 0.9493, 0.9466, 0.9547, 0.9356, 0.9337, 0.9378, 0.9364, 0.9328, 0.9509, 0.9252, 0.9350, 0.9330, 0.9334, 0.9489, 0.9518, 0.9516, 0.9303, 0.9552, 0.9311, 0.9317, 0.9426, 0.9266, 0.9472, 0.9570
