VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
AE, MSL, True, f1b, 0.9985, 0.9962, 0.9985, 0.9939, 0.9939, 0.9985, 0.9939, 0.9962, 0.9962, 0.9962, 0.9962, 0.9939, 0.9962, 0.9939, 0.9962, 0.9962, 0.9985, 0.9962, 0.9939, 0.9985, 0.9962, 0.9962, 0.9962, 0.9962, 0.9939, 0.9962, 0.9962, 0.9962, 0.9985, 0.9962, 0.9962, 0.9962
VAE, MSL, True, fpr, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.7022, 1.0000, 1.0000, 1.0000, 0.7006, 1.0000, 1.0000
VAE, MSL, True, auc, 0.6175, 0.6133, 0.6045, 0.6141, 0.6247, 0.6252, 0.6155, 0.6097, 0.6237, 0.6162, 0.6260, 0.6226, 0.6180, 0.6140, 0.6079, 0.6274, 0.6206, 0.6206, 0.6350, 0.6258, 0.6333, 0.6223, 0.6279, 0.6296, 0.6119, 0.6246, 0.6200, 0.6382, 0.6356, 0.6150, 0.6112, 0.6154
VAE, MSL, True, f1b, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371, 0.8371
OP, MSL, True, fpr, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609, 0.6609
OP, MSL, True, auc, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994, 0.4994
OP, MSL, True, f1b, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576, 0.4576
RAND, MSL, True, fpr, 0.7022, 0.7032, 1.0000, 0.7028, 0.7025, 0.7032, 0.7031, 0.7021, 0.7029, 0.7031, 0.7029, 0.7022, 1.0000, 0.7028, 0.7031, 0.7032, 0.7028, 0.7028, 1.0000, 0.7032, 1.0000, 0.7021, 0.7032, 0.7022, 1.0000, 0.7025, 0.7032, 0.7032, 0.7020, 1.0000, 0.7022, 0.7027
RAND, MSL, True, auc, 0.4992, 0.5202, 0.4928, 0.4830, 0.5067, 0.5010, 0.5002, 0.5105, 0.5073, 0.5003, 0.4879, 0.4996, 0.5007, 0.5117, 0.5216, 0.4962, 0.5031, 0.5065, 0.4846, 0.4872, 0.4919, 0.5038, 0.5155, 0.4988, 0.4806, 0.4870, 0.5102, 0.5049, 0.4880, 0.5082, 0.4863, 0.5000
RAND, MSL, True, f1b, 1.0000, 0.9985, 1.0000, 0.9946, 0.9992, 1.0000, 0.9954, 1.0000, 0.9985, 0.9977, 0.9931, 0.9841, 0.9992, 0.9985, 0.9992, 0.9962, 1.0000, 1.0000, 0.9985, 1.0000, 0.9962, 1.0000, 0.9977, 0.9977, 0.9977, 0.9909, 0.9977, 0.9969, 0.9931, 1.0000, 0.9969, 0.9954
