VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
OCSVM, MSL, True, auc, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052, 0.6052
OCSVM, MSL, True, f1b, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369, 0.6369
DBSCAN, MSL, True, fpr, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117
DBSCAN, MSL, True, auc, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877, 0.5877
DBSCAN, MSL, True, f1b, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745, 0.9745
GMM, MSL, True, fpr, 0.9161, 0.9161, 0.9161, 0.9161, 0.9117, 0.9157, 0.9117, 0.9166, 0.9117, 0.9117, 0.9166, 0.9157, 0.9161, 0.9166, 0.9169, 0.9157, 0.9157, 0.9161, 0.9161, 0.9161, 0.9157, 0.9161, 0.9161, 0.9161, 0.9161, 0.9157, 0.9161, 0.9161, 0.9161, 0.9157, 0.9166, 0.9157
GMM, MSL, True, auc, 0.3691, 0.3691, 0.3691, 0.3691, 0.5876, 0.3557, 0.5876, 0.3594, 0.5876, 0.5876, 0.3594, 0.3557, 0.3691, 0.3594, 0.3440, 0.3557, 0.3557, 0.3691, 0.3691, 0.3691, 0.3557, 0.3691, 0.3691, 0.3691, 0.3691, 0.3557, 0.3691, 0.3691, 0.3691, 0.3557, 0.3594, 0.3557
GMM, MSL, True, f1b, 0.8251, 0.8251, 0.8251, 0.8251, 0.9802, 0.9711, 0.9802, 0.8116, 0.9802, 0.9802, 0.8116, 0.9711, 0.8251, 0.8116, 0.9894, 0.9711, 0.9711, 0.8251, 0.8251, 0.8251, 0.9711, 0.8251, 0.8251, 0.8251, 0.8251, 0.9711, 0.8251, 0.8251, 0.8251, 0.9711, 0.8116, 0.9711
IF, MSL, True, fpr, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117
IF, MSL, True, auc, 0.5873, 0.5873, 0.5873, 0.5876, 0.5873, 0.5874, 0.5871, 0.5872, 0.5875, 0.5872, 0.5871, 0.5871, 0.5873, 0.5875, 0.5872, 0.5873, 0.5871, 0.5871, 0.5871, 0.5874, 0.5871, 0.5871, 0.5874, 0.5871, 0.5872, 0.5872, 0.5873, 0.5872, 0.5873, 0.5872, 0.5875, 0.5872
