VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
LSTM, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
GRU, MSL, True, fpr, 0.9933, 0.9937, 0.9933, 0.9943, 0.9941, 0.9933, 0.9934, 0.9932, 0.9930, 0.9941, 0.9934, 0.9938, 0.9934, 0.9937, 0.9940, 0.9937, 0.9937, 0.9942, 0.9934, 0.9935, 0.9934, 0.9943, 0.9944, 0.9936, 0.9932, 0.9930, 0.9940, 0.9934, 0.9939, 0.9937, 0.9933, 0.9936
GRU, MSL, True, auc, 0.7247, 0.7528, 0.7330, 0.7179, 0.7255, 0.7376, 0.7380, 0.7302, 0.7337, 0.7249, 0.7114, 0.7183, 0.7316, 0.7156, 0.7374, 0.7324, 0.7181, 0.7467, 0.7354, 0.7406, 0.7238, 0.7201, 0.7148, 0.7393, 0.7283, 0.7341, 0.7435, 0.7293, 0.7241, 0.7174, 0.7426, 0.7595
GRU, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
AE, MSL, True, fpr, 0.9945, 0.9934, 0.9925, 0.9944, 0.9919, 0.9942, 0.9945, 0.9945, 0.9943, 0.9945, 0.9938, 0.9942, 0.9925, 0.9944, 0.9943, 0.9914, 0.9941, 0.9935, 0.9937, 0.9928, 0.9917, 0.9940, 0.9940, 0.9931, 0.9940, 0.9937, 0.9909, 0.9945, 0.9922, 0.9911, 0.9919, 0.9936
AE, MSL, True, auc, 0.5190, 0.6381, 0.6670, 0.5706, 0.6896, 0.6344, 0.5670, 0.4977, 0.5806, 0.6593, 0.6723, 0.5424, 0.6749, 0.6348, 0.5419, 0.6791, 0.6226, 0.6682, 0.5974, 0.6519, 0.7104, 0.5640, 0.4919, 0.5631, 0.5975, 0.6256, 0.7088, 0.5466, 0.7126, 0.6761, 0.6602, 0.6694
AE, MSL, True, f1b, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.7692, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.6452, 0.7692, 0.6452, 0.6452
VAE, MSL, True, fpr, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
VAE, MSL, True, auc, 0.2032, 0.4307, 0.3983, 0.3472, 0.2728, 0.3520, 0.3587, 0.4204, 0.3548, 0.2286, 0.3241, 0.3269, 0.3531, 0.4416, 0.2883, 0.3486, 0.1525, 0.2546, 0.3155, 0.2583, 0.2574, 0.3041, 0.4119, 0.3534, 0.3903, 0.2215, 0.2528, 0.3540, 0.4091, 0.2941, 0.4080, 0.3826
VAE, MSL, True, f1b, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401, 0.0401
OP, MSL, True, fpr, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684, 0.9684
OP, MSL, True, auc, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983, 0.4983
OP, MSL, True, f1b, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109, 0.0109
RAND, MSL, True, fpr, 0.9942, 0.9942, 0.9944, 0.9942, 0.9942, 0.9945, 0.9936, 0.9942, 0.9938, 0.9944, 0.9941, 0.9942, 0.9941, 0.9942, 0.9943, 0.9941, 0.9945, 0.9943, 0.9943, 0.9945, 0.9938, 0.9938, 0.9943, 0.9934, 0.9944, 0.9923, 0.9940, 0.9924, 0.9945, 0.9941, 0.9940, 0.9938
RAND, MSL, True, auc, 0.4791, 0.4874, 0.6223, 0.6479, 0.4982, 0.5305, 0.4783, 0.4106, 0.6004, 0.3538, 0.4814, 0.3604, 0.5188, 0.4827, 0.4462, 0.5039, 0.4819, 0.5745, 0.3361, 0.6439, 0.5530, 0.4312, 0.4039, 0.6537, 0.2454, 0.6899, 0.5780, 0.6473, 0.3380, 0.5604, 0.4735, 0.5181
RAND, MSL, True, f1b, 0.1351, 0.8696, 0.5263, 0.3922, 0.1942, 0.2198, 0.0442, 0.6897, 0.4167, 0.1307, 0.0866, 0.0462, 0.4348, 0.1042, 0.3390, 0.0623, 0.0651, 0.0702, 0.0358, 0.5714, 0.1170, 0.2105, 0.0791, 0.2353, 0.4348, 0.4651, 0.4762, 0.1093, 0.0554, 0.2778, 0.0391, 0.0699
