VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
LSTM, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9950, 1.0000, 0.9950, 1.0000, 1.0000, 1.0000, 0.9950, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9950, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
GRU, MSL, True, fpr, 0.9536, 0.9535, 0.9536, 0.9536, 0.9508, 1.0000, 0.9534, 0.9529, 0.9531, 0.9536, 1.0000, 0.9502, 1.0000, 1.0000, 0.9536, 0.9536, 1.0000, 0.9530, 0.9535, 0.9536, 0.9532, 0.9536, 0.9536, 0.9536, 0.9510, 1.0000, 0.9524, 0.9499, 0.9536, 1.0000, 0.9509, 0.9534
GRU, MSL, True, auc, 0.5876, 0.6141, 0.6030, 0.5968, 0.6382, 0.6070, 0.6126, 0.6161, 0.5997, 0.5974, 0.5975, 0.6186, 0.5840, 0.5876, 0.6055, 0.5930, 0.5829, 0.5911, 0.5995, 0.5822, 0.6040, 0.5966, 0.5907, 0.5797, 0.6302, 0.5952, 0.6041, 0.6204, 0.6024, 0.5959, 0.6204, 0.6106
GRU, MSL, True, f1b, 0.9950, 0.9950, 0.9950, 0.9950, 1.0000, 0.9950, 0.9950, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9950, 1.0000, 1.0000, 0.9950, 1.0000, 1.0000, 1.0000, 1.0000, 0.9950, 1.0000, 1.0000, 0.9950, 0.9950, 0.9950, 0.9950, 1.0000
AE, MSL, True, fpr, 1.0000, 0.9522, 1.0000, 1.0000, 0.9536, 0.9533, 1.0000, 0.9526, 1.0000, 1.0000, 0.9486, 0.9492, 1.0000, 1.0000, 0.9526, 0.9524, 0.9536, 0.9487, 0.9524, 0.9524, 0.9526, 1.0000, 0.9486, 1.0000, 1.0000, 0.9522, 1.0000, 1.0000, 0.9486, 1.0000, 1.0000, 0.9524
AE, MSL, True, auc, 0.7361, 0.7446, 0.7418, 0.7314, 0.7224, 0.7212, 0.7490, 0.7470, 0.7424, 0.7249, 0.7254, 0.7300, 0.7464, 0.7516, 0.7294, 0.7504, 0.7392, 0.7350, 0.7387, 0.7480, 0.7523, 0.7329, 0.7271, 0.7404, 0.7490, 0.7196, 0.7367, 0.7392, 0.7282, 0.7359, 0.7268, 0.7481
AE, MSL, True, f1b, 0.9615, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9615, 0.9615, 0.9950, 0.9615, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9615, 0.9950, 0.9615, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9901, 0.9390, 0.9950, 0.9950
VAE, MSL, True, fpr, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
VAE, MSL, True, auc, 0.2644, 0.2698, 0.2641, 0.2625, 0.2605, 0.2613, 0.2723, 0.2583, 0.3024, 0.2643, 0.2652, 0.2634, 0.2626, 0.2644, 0.2694, 0.2681, 0.2591, 0.2665, 0.2598, 0.2740, 0.2630, 0.2611, 0.2621, 0.2654, 0.2688, 0.2637, 0.2639, 0.2578, 0.2655, 0.2601, 0.2668, 0.2632
VAE, MSL, True, f1b, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458, 0.1458
OP, MSL, True, fpr, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555, 0.7555
OP, MSL, True, auc, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031, 0.5031
OP, MSL, True, f1b, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950, 0.9950
RAND, MSL, True, fpr, 0.9534, 0.9536, 0.9536, 0.9525, 0.9520, 0.9523, 0.9535, 0.9535, 0.9530, 0.9530, 0.9534, 0.9535, 0.9534, 0.9533, 0.9530, 0.9534, 0.9536, 0.9530, 0.9533, 0.9536, 0.9533, 0.9534, 0.9536, 0.9522, 0.9534, 0.9529, 1.0000, 0.9533, 0.9527, 0.9534, 1.0000, 0.9534
RAND, MSL, True, auc, 0.5297, 0.5110, 0.5045, 0.4960, 0.5332, 0.5129, 0.5245, 0.5420, 0.5107, 0.5535, 0.5401, 0.5047, 0.5097, 0.5127, 0.5227, 0.5584, 0.5093, 0.5068, 0.5359, 0.4707, 0.4648, 0.5196, 0.5015, 0.5163, 0.4722, 0.5263, 0.4760, 0.4838, 0.5759, 0.5409, 0.5183, 0.4710
RAND, MSL, True, f1b, 0.9615, 0.8621, 0.8475, 0.9091, 1.0000, 0.9709, 0.9217, 0.9091, 0.9662, 0.9709, 0.8264, 0.9434, 0.9852, 0.8403, 0.9662, 0.9569, 0.9524, 0.9434, 0.9434, 0.9390, 0.8889, 0.8969, 0.9217, 0.9217, 0.9050, 0.7605, 0.9615, 0.9174, 0.8929, 0.8065, 0.9390, 0.8969
